Day,Susceptibles,Infected,Recovered,Vaccinated (% of population),Deaths (thousands),Mean Unemployment Rate (%),US Debt (USD),US GDP (USD),Post-productivity (trillion $),Current Subsidy Quantitative Policy Level,Total Subsidies (USD),US Tax Wedge ('%' of GDP),US Federal Deficit (USD),US Federal Interest Payment (USD),Federal Reserve Fund Rate (%),US Treasury Yield Long Term (%),US Government Revenue (USD),US Health Index,Defense Imperialism Spending (USD),Income Security Spending (USD),Social Security Spending (USD),Medicare Medicaid Spending (USD),Federal Reserve Balance Sheet (USD),Inflation,US Treasury Yield,Defense Imperialism Index,Income Security Index,Social Security Index,Medicare Medicaid Index,Inflation Index,US Treasury Yield Index,Health Index,Economic Index,Reward,Reward Social Welfare
1,328111500.0,424899.12,201511.6,0.0,0.786,0.07818424571384093,16907279382572.887,21466585914800.0,64704078000.0,3,9006518246.575342,0.1630441,9278961708.887672,888881196.8876712,1.75,0.0192,9589041000.0,[1.6200399],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[1.6200399],[1.8158052],1.7024570859120627,1.7024570859120627
2,328034980.0,471096.75,231861.52,0.0,1.029,0.08239863332345272,16916558832343.967,21466585914800.0,128329200000.0,3,18013036493.150684,0.1630441,9279449771.079483,889369259.0794818,1.75,0.0192,9589041000.0,[2.5792155],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[2.5792155],[2.7437053],0.946008624032029,0.946008624032029
3,327953000.0,519401.3,265511.25,0.0,1.362,0.08594167762504158,16925838770239.55,21466585914800.0,191103550000.0,3,27019554739.72603,0.1630441,9279937895.583775,889857383.5837754,1.75,0.0192,9589041000.0,[3.5181804],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[3.5181804],[3.6525636],0.9262899110482983,0.9262899110482983
4,327865820.0,569498.8,302611.38,0.0,1.779,0.08823299226609443,16935119196285.316,21466585914800.0,253204480000.0,3,36026072986.30137,0.1630441,9280426045.764755,890345533.7647563,1.75,0.0192,9589041000.0,[4.4382815],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[4.4382815],[4.545919],0.9088412140363322,0.9088412140363322
5,327773500.0,621141.75,343289.88,0.0,2.298,0.09022030485829326,16944400110506.94,21466585914800.0,314977320000.0,3,45032591232.87671,0.1630441,9280914221.623775,890833709.6237755,1.75,0.0192,9589041000.0,[5.3354774],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[5.3354774],[5.439818],0.8958077454179152,0.8958077454179152
6,327676100.0,674160.75,387657.16,0.0,3.011,0.09275566801366472,16953681512930.102,21466585914800.0,376251320000.0,3,54039109479.45205,0.1630441,9281402423.162182,891321911.1621834,1.75,0.0192,9589041000.0,[6.1891074],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[6.1891074],[6.3123226],0.8615763118478839,0.8615763118478839
7,327574080.0,728028.56,435811.5,0.0,3.566,0.09498447693511569,16962963403580.482,21466585914800.0,437211230000.0,3,63045627726.02739,0.1630441,9281890650.381332,891810138.3813311,1.75,0.0192,9589041000.0,[7.0782185],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[7.0782185],[7.180631],0.8803533667492665,0.8803533667492665
8,327467840.0,782230.9,487813.53,0.0,4.27,0.09669695661147891,16972245782483.766,21466585914800.0,497994960000.0,3,72052145972.60274,0.1630441,9282378903.28257,892298391.2825694,1.75,0.0192,9589041000.0,[7.9338694],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[7.9338694],[8.047689],0.8604537044842704,0.8604537044842704
9,327357950.0,836277.06,543687.1,0.0,5.346,0.09902789552270569,16981528649665.633,21466585914800.0,558271600000.0,3,81058664219.17809,0.1630441,9282867181.867249,892786669.867249,1.75,0.0192,9589041000.0,[8.705982],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[8.705982],[8.886985],0.8003968773135071,0.8003968773135071
10,327244700.0,889751.3,603421.25,0.0,6.972,0.10127254685157766,16990812005151.77,21466585914800.0,618267300000.0,3,90065182465.75343,0.1630441,9283355486.136723,893274974.1367213,1.75,0.0192,9589041000.0,[9.354585],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[9.354585],[9.724423],0.728102110432084,0.728102110432084
